geocode,geography,year,topic,category,count
N09000006,Fermanagh and Omagh,2011,accommodation_type,terraced,5814
N09000007,Lisburn and Castlereagh,2011,accommodation_type,terraced,10618
N09000008,Mid and East Antrim,2011,accommodation_type,terraced,12982
N09000009,Mid Ulster,2011,accommodation_type,terraced,7388
N09000010,"Newry, Mourne and Down",2011,accommodation_type,terraced,10856
N09000011,Ards and North Down,2011,accommodation_type,terraced,14122
N92000002,Northern Ireland,2011,accommodation_type,terraced,174898
N09000001,Antrim and Newtownabbey,2021,accommodation_type,terraced ,13978
N09000002,"Armagh City, Banbridge and Craigavon",2021,accommodation_type,terraced ,13978
N09000003,Belfast,2021,accommodation_type,terraced ,13978
N09000004,Causeway Coast and Glens,2021,accommodation_type,terraced ,13978
N09000005,Derry City and Strabane,2021,accommodation_type,terraced ,13978
N09000006,Fermanagh and Omagh,2021,accommodation_type,terraced ,13978
N09000007,Lisburn and Castlereagh,2021,accommodation_type,terraced ,13978
N09000008,Mid and East Antrim,2021,accommodation_type,terraced ,13978
N09000009,Mid Ulster,2021,accommodation_type,terraced ,13978
N09000010,"Newry, Mourne and Down",2021,accommodation_type,terraced ,13978
N09000011,Ards and North Down,2021,accommodation_type,terraced ,13978
N92000002,Northern Ireland,2021,accommodation_type,terraced ,153758
N09000001,Antrim and Newtownabbey,2011,age,a0to14,27535
N09000001,Antrim and Newtownabbey,2021,age,a0to14,27475
N09000002,"Armagh City, Banbridge and Craigavon",2011,age,a0to14,41520
N09000002,"Armagh City, Banbridge and Craigavon",2021,age,a0to14,45420
N09000003,Belfast,2011,age,a0to14,60043
N09000003,Belfast,2021,age,a0to14,62328
N09000004,Causeway Coast and Glens,2011,age,a0to14,26871
N09000004,Causeway Coast and Glens,2021,age,a0to14,25964
N09000005,Derry City and Strabane,2011,age,a0to14,30674
N09000005,Derry City and Strabane,2021,age,a0to14,29978
N09000006,Fermanagh and Omagh,2011,age,a0to14,23186
N09000006,Fermanagh and Omagh,2021,age,a0to14,23236
N09000007,Lisburn and Castlereagh,2011,age,a0to14,25679
N09000007,Lisburn and Castlereagh,2021,age,a0to14,28398
N09000008,Mid and East Antrim,2011,age,a0to14,24940
N09000008,Mid and East Antrim,2021,age,a0to14,24194
N09000009,Mid Ulster,2011,age,a0to14,29948
N09000009,Mid Ulster,2021,age,a0to14,32632
N09000010,"Newry, Mourne and Down",2011,age,a0to14,36479
N09000010,"Newry, Mourne and Down",2021,age,a0to14,37824
N09000011,Ards and North Down,2011,age,a0to14,27828
N09000011,Ards and North Down,2021,age,a0to14,27763
N92000002,Northern Ireland,2011,age,a0to14,354703
N92000002,Northern Ireland,2021,age,a0to14,365212
N09000001,Antrim and Newtownabbey,2011,age,a15to39,46639
N09000001,Antrim and Newtownabbey,2021,age,a15to39,44720
N09000002,"Armagh City, Banbridge and Craigavon",2011,age,a15to39,68158
N09000002,"Armagh City, Banbridge and Craigavon",2021,age,a15to39,67699
N09000003,Belfast,2011,age,a15to39,128000
N09000003,Belfast,2021,age,a15to39,128270
N09000004,Causeway Coast and Glens,2011,age,a15to39,46251
N09000004,Causeway Coast and Glens,2021,age,a15to39,40901
N09000005,Derry City and Strabane,2011,age,a15to39,51833
N09000005,Derry City and Strabane,2021,age,a15to39,46833
N09000006,Fermanagh and Omagh,2011,age,a15to39,37519
N09000006,Fermanagh and Omagh,2021,age,a15to39,33921
N09000007,Lisburn and Castlereagh,2011,age,a15to39,42648
N09000007,Lisburn and Castlereagh,2021,age,a15to39,44851
N09000008,Mid and East Antrim,2011,age,a15to39,42028
N09000008,Mid and East Antrim,2021,age,a15to39,39823
N09000009,Mid Ulster,2011,age,a15to39,50191
N09000009,Mid Ulster,2021,age,a15to39,48351
N09000010,"Newry, Mourne and Down",2011,age,a15to39,58388
N09000010,"Newry, Mourne and Down",2021,age,a15to39,54787
N09000011,Ards and North Down,2011,age,a15to39,46797
N09000011,Ards and North Down,2021,age,a15to39,44206
N92000002,Northern Ireland,2011,age,a15to39,618452
N92000002,Northern Ireland,2021,age,a15to39,594362
N09000001,Antrim and Newtownabbey,2011,age,a40to64,44207
N09000001,Antrim and Newtownabbey,2021,age,a40to64,48367
N09000002,"Armagh City, Banbridge and Craigavon",2011,age,a40to64,62388
N09000002,"Armagh City, Banbridge and Craigavon",2021,age,a40to64,70547
N09000003,Belfast,2011,age,a40to64,97602
N09000003,Belfast,2021,age,a40to64,103974
N09000004,Causeway Coast and Glens,2011,age,a40to64,46058
N09000004,Causeway Coast and Glens,2021,age,a40to64,47568
N09000005,Derry City and Strabane,2011,age,a40to64,46774
N09000005,Derry City and Strabane,2021,age,a40to64,49788
N09000006,Fermanagh and Omagh,2011,age,a40to64,36517
N09000006,Fermanagh and Omagh,2021,age,a40to64,38218
N09000007,Lisburn and Castlereagh,2011,age,a40to64,45330
N09000007,Lisburn and Castlereagh,2021,age,a40to64,49643
N09000008,Mid and East Antrim,2011,age,a40to64,45979
N09000008,Mid and East Antrim,2021,age,a40to64,47637
N09000009,Mid Ulster,2011,age,a40to64,41060
N09000009,Mid Ulster,2021,age,a40to64,46785
N09000010,"Newry, Mourne and Down",2011,age,a40to64,53718
N09000010,"Newry, Mourne and Down",2021,age,a40to64,59134
N09000011,Ards and North Down,2011,age,a40to64,54355
N09000011,Ards and North Down,2021,age,a40to64,55465
N92000002,Northern Ireland,2011,age,a40to64,573988
N92000002,Northern Ireland,2021,age,a40to64,617126
N09000001,Antrim and Newtownabbey,2011,age,a65plus,20186
N09000001,Antrim and Newtownabbey,2021,age,a65plus,25100
N09000002,"Armagh City, Banbridge and Craigavon",2011,age,a65plus,27627
N09000002,"Armagh City, Banbridge and Craigavon",2021,age,a65plus,34990
N09000003,Belfast,2011,age,a65plus,48226
N09000003,Belfast,2021,age,a65plus,50846
N09000004,Causeway Coast and Glens,2011,age,a65plus,21697
N09000004,Causeway Coast and Glens,2021,age,a65plus,27314
N09000005,Derry City and Strabane,2011,age,a65plus,18439
N09000005,Derry City and Strabane,2021,age,a65plus,24157
N09000006,Fermanagh and Omagh,2011,age,a65plus,15939
N09000006,Fermanagh and Omagh,2021,age,a65plus,21437
N09000007,Lisburn and Castlereagh,2011,age,a65plus,21184
N09000007,Lisburn and Castlereagh,2021,age,a65plus,26214
N09000008,Mid and East Antrim,2011,age,a65plus,22391
N09000008,Mid and East Antrim,2021,age,a65plus,27339
N09000009,Mid Ulster,2011,age,a65plus,17391
N09000009,Mid Ulster,2021,age,a65plus,22525
N09000010,"Newry, Mourne and Down",2011,age,a65plus,22948
N09000010,"Newry, Mourne and Down",2021,age,a65plus,30329
N09000011,Ards and North Down,2011,age,a65plus,27692
N09000011,Ards and North Down,2021,age,a65plus,36225
N92000002,Northern Ireland,2011,age,a65plus,263720
N92000002,Northern Ireland,2021,age,a65plus,326476
N09000001,Antrim and Newtownabbey,2021,car_or_van,five_or_more,11649
N09000001,Antrim and Newtownabbey,2011,car_or_van,five_or_more,314
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,five_or_more,11649
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,five_or_more,625
N09000003,Belfast,2021,car_or_van,five_or_more,11649
N09000003,Belfast,2011,car_or_van,five_or_more,222
N09000004,Causeway Coast and Glens,2021,car_or_van,five_or_more,11649
N09000004,Causeway Coast and Glens,2011,car_or_van,five_or_more,442
N09000005,Derry City and Strabane,2021,car_or_van,five_or_more,11649
N09000005,Derry City and Strabane,2011,car_or_van,five_or_more,301
N09000006,Fermanagh and Omagh,2021,car_or_van,five_or_more,11649
N09000006,Fermanagh and Omagh,2011,car_or_van,five_or_more,465
N09000007,Lisburn and Castlereagh,2021,car_or_van,five_or_more,11649
N09000007,Lisburn and Castlereagh,2011,car_or_van,five_or_more,372
N09000008,Mid and East Antrim,2021,car_or_van,five_or_more,11649
N09000008,Mid and East Antrim,2011,car_or_van,five_or_more,421
N09000009,Mid Ulster,2021,car_or_van,five_or_more,11649
N09000009,Mid Ulster,2011,car_or_van,five_or_more,751
N09000010,"Newry, Mourne and Down",2021,car_or_van,five_or_more,11649
N09000010,"Newry, Mourne and Down",2011,car_or_van,five_or_more,665
N09000011,Ards and North Down,2021,car_or_van,five_or_more,11649
N09000011,Ards and North Down,2011,car_or_van,five_or_more,362
N92000002,Northern Ireland,2021,car_or_van,five_or_more,128139
N92000002,Northern Ireland,2011,car_or_van,five_or_more,4940
N09000001,Antrim and Newtownabbey,2011,car_or_van,four,912
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,four,1672
N09000003,Belfast,2011,car_or_van,four,868
N09000004,Causeway Coast and Glens,2011,car_or_van,four,1109
N09000005,Derry City and Strabane,2011,car_or_van,four,827
N09000006,Fermanagh and Omagh,2011,car_or_van,four,1242
N09000007,Lisburn and Castlereagh,2011,car_or_van,four,992
N09000008,Mid and East Antrim,2011,car_or_van,four,1099
N09000009,Mid Ulster,2011,car_or_van,four,1704
N09000010,"Newry, Mourne and Down",2011,car_or_van,four,1704
N09000011,Ards and North Down,2011,car_or_van,four,1108
N92000002,Northern Ireland,2011,car_or_van,four,13237
N09000001,Antrim and Newtownabbey,2021,car_or_van,four ,11649
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,four ,11649
N09000003,Belfast,2021,car_or_van,four ,11649
N09000004,Causeway Coast and Glens,2021,car_or_van,four ,11649
N09000005,Derry City and Strabane,2021,car_or_van,four ,11649
N09000006,Fermanagh and Omagh,2021,car_or_van,four ,11649
N09000007,Lisburn and Castlereagh,2021,car_or_van,four ,11649
N09000008,Mid and East Antrim,2021,car_or_van,four ,11649
N09000009,Mid Ulster,2021,car_or_van,four ,11649
N09000010,"Newry, Mourne and Down",2021,car_or_van,four ,11649
N09000011,Ards and North Down,2021,car_or_van,four ,11649
N92000002,Northern Ireland,2021,car_or_van,four ,128139
N09000001,Antrim and Newtownabbey,2021,car_or_van,none,11649
N09000001,Antrim and Newtownabbey,2011,car_or_van,none,10549
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,none,11649
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,none,13737
N09000003,Belfast,2021,car_or_van,none,11649
N09000003,Belfast,2011,car_or_van,none,54075
N09000004,Causeway Coast and Glens,2021,car_or_van,none,11649
N09000004,Causeway Coast and Glens,2011,car_or_van,none,10385
N09000005,Derry City and Strabane,2021,car_or_van,none,11649
N09000005,Derry City and Strabane,2011,car_or_van,none,16196
N09000006,Fermanagh and Omagh,2021,car_or_van,none,11649
N09000006,Fermanagh and Omagh,2011,car_or_van,none,6851
N09000007,Lisburn and Castlereagh,2021,car_or_van,none,11649
N09000007,Lisburn and Castlereagh,2011,car_or_van,none,8032
N09000008,Mid and East Antrim,2021,car_or_van,none,11649
N09000008,Mid and East Antrim,2011,car_or_van,none,10589
N09000009,Mid Ulster,2021,car_or_van,none,11649
N09000009,Mid Ulster,2011,car_or_van,none,7328
N09000010,"Newry, Mourne and Down",2021,car_or_van,none,11649
N09000010,"Newry, Mourne and Down",2011,car_or_van,none,10883
N09000011,Ards and North Down,2021,car_or_van,none,11649
N09000011,Ards and North Down,2011,car_or_van,none,11034
N92000002,Northern Ireland,2021,car_or_van,none,128139
N92000002,Northern Ireland,2011,car_or_van,none,159659
N09000001,Antrim and Newtownabbey,2011,car_or_van,one,23127
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,one,31063
N09000003,Belfast,2011,car_or_van,one,59176
N09000004,Causeway Coast and Glens,2011,car_or_van,one,22608
N09000005,Derry City and Strabane,2011,car_or_van,one,23317
N09000006,Fermanagh and Omagh,2011,car_or_van,one,16288
N09000007,Lisburn and Castlereagh,2011,car_or_van,one,22045
N09000008,Mid and East Antrim,2011,car_or_van,one,22620
N09000009,Mid Ulster,2011,car_or_van,one,18505
N09000010,"Newry, Mourne and Down",2011,car_or_van,one,25031
N09000011,Ards and North Down,2011,car_or_van,one,27236
N92000002,Northern Ireland,2011,car_or_van,one,291016
N09000001,Antrim and Newtownabbey,2021,car_or_van,one ,11649
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,one ,11649
N09000003,Belfast,2021,car_or_van,one ,11649
N09000004,Causeway Coast and Glens,2021,car_or_van,one ,11649
N09000005,Derry City and Strabane,2021,car_or_van,one ,11649
N09000006,Fermanagh and Omagh,2021,car_or_van,one ,11649
N09000007,Lisburn and Castlereagh,2021,car_or_van,one ,11649
N09000008,Mid and East Antrim,2021,car_or_van,one ,11649
N09000009,Mid Ulster,2021,car_or_van,one ,11649
N09000010,"Newry, Mourne and Down",2021,car_or_van,one ,11649
N09000011,Ards and North Down,2021,car_or_van,one ,11649
N92000002,Northern Ireland,2021,car_or_van,one ,128139
N09000001,Antrim and Newtownabbey,2011,car_or_van,three,3316
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,three,5535
N09000003,Belfast,2011,car_or_van,three,3921
N09000004,Causeway Coast and Glens,2011,car_or_van,three,3738
N09000005,Derry City and Strabane,2011,car_or_van,three,2888
N09000006,Fermanagh and Omagh,2011,car_or_van,three,3550
N09000007,Lisburn and Castlereagh,2011,car_or_van,three,3755
N09000008,Mid and East Antrim,2011,car_or_van,three,3896
N09000009,Mid Ulster,2011,car_or_van,three,4268
N09000010,"Newry, Mourne and Down",2011,car_or_van,three,4854
N09000011,Ards and North Down,2011,car_or_van,three,4506
N92000002,Northern Ireland,2011,car_or_van,three,44227
N09000001,Antrim and Newtownabbey,2021,car_or_van,three ,11649
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,three ,11649
N09000003,Belfast,2021,car_or_van,three ,11649
N09000004,Causeway Coast and Glens,2021,car_or_van,three ,11649
N09000005,Derry City and Strabane,2021,car_or_van,three ,11649
N09000006,Fermanagh and Omagh,2021,car_or_van,three ,11649
N09000007,Lisburn and Castlereagh,2021,car_or_van,three ,11649
N09000008,Mid and East Antrim,2021,car_or_van,three ,11649
N09000009,Mid Ulster,2021,car_or_van,three ,11649
N09000010,"Newry, Mourne and Down",2021,car_or_van,three ,11649
N09000011,Ards and North Down,2021,car_or_van,three ,11649
N92000002,Northern Ireland,2021,car_or_van,three ,128139
N09000001,Antrim and Newtownabbey,2021,car_or_van,two,11649
N09000001,Antrim and Newtownabbey,2011,car_or_van,two,15817
N09000002,"Armagh City, Banbridge and Craigavon",2021,car_or_van,two,11649
N09000002,"Armagh City, Banbridge and Craigavon",2011,car_or_van,two,22874
N09000003,Belfast,2021,car_or_van,two,11649
N09000003,Belfast,2011,car_or_van,two,23305
N09000004,Causeway Coast and Glens,2021,car_or_van,two,11649
N09000004,Causeway Coast and Glens,2011,car_or_van,two,15440
N09000005,Derry City and Strabane,2021,car_or_van,two,11649
N09000005,Derry City and Strabane,2011,car_or_van,two,12067
N09000006,Fermanagh and Omagh,2021,car_or_van,two,11649
N09000006,Fermanagh and Omagh,2011,car_or_van,two,13116
N09000007,Lisburn and Castlereagh,2021,car_or_van,two,11649
N09000007,Lisburn and Castlereagh,2011,car_or_van,two,17452
N09000008,Mid and East Antrim,2021,car_or_van,two,11649
N09000008,Mid and East Antrim,2011,car_or_van,two,15689
N09000009,Mid Ulster,2021,car_or_van,two,11649
N09000009,Mid Ulster,2011,car_or_van,two,15216
N09000010,"Newry, Mourne and Down",2021,car_or_van,two,11649
N09000010,"Newry, Mourne and Down",2011,car_or_van,two,18861
N09000011,Ards and North Down,2021,car_or_van,two,11649
N09000011,Ards and North Down,2011,car_or_van,two,20359
N92000002,Northern Ireland,2021,car_or_van,two,128139
N92000002,Northern Ireland,2011,car_or_van,two,190196
N09000001,Antrim and Newtownabbey,2021,central_heating,mains_gas_only,17473
N09000001,Antrim and Newtownabbey,2011,central_heating,mains_gas_only,10516
N09000002,"Armagh City, Banbridge and Craigavon",2021,central_heating,mains_gas_only,17473
N09000002,"Armagh City, Banbridge and Craigavon",2011,central_heating,mains_gas_only,1897
N09000003,Belfast,2021,central_heating,mains_gas_only,17473
N09000003,Belfast,2011,central_heating,mains_gas_only,67731
N09000004,Causeway Coast and Glens,2021,central_heating,mains_gas_only,17473
N09000004,Causeway Coast and Glens,2011,central_heating,mains_gas_only,1752
N09000005,Derry City and Strabane,2021,central_heating,mains_gas_only,17473
N09000005,Derry City and Strabane,2011,central_heating,mains_gas_only,2884
N09000006,Fermanagh and Omagh,2021,central_heating,mains_gas_only,17473
N09000006,Fermanagh and Omagh,2011,central_heating,mains_gas_only,368
N09000007,Lisburn and Castlereagh,2021,central_heating,mains_gas_only,17473
N09000007,Lisburn and Castlereagh,2011,central_heating,mains_gas_only,10371
N09000008,Mid and East Antrim,2021,central_heating,mains_gas_only,17473
N09000008,Mid and East Antrim,2011,central_heating,mains_gas_only,7916
N09000009,Mid Ulster,2021,central_heating,mains_gas_only,17473
N09000009,Mid Ulster,2011,central_heating,mains_gas_only,357
N09000010,"Newry, Mourne and Down",2021,central_heating,mains_gas_only,17473
N09000010,"Newry, Mourne and Down",2011,central_heating,mains_gas_only,1759
N09000011,Ards and North Down,2021,central_heating,mains_gas_only,17473
N09000011,Ards and North Down,2011,central_heating,mains_gas_only,15405
N92000002,Northern Ireland,2021,central_heating,mains_gas_only,192203
N92000002,Northern Ireland,2011,central_heating,mains_gas_only,120956
N09000001,Antrim and Newtownabbey,2021,central_heating,none,17473
N09000001,Antrim and Newtownabbey,2011,central_heating,none,194
N09000002,"Armagh City, Banbridge and Craigavon",2021,central_heating,none,17473
N09000002,"Armagh City, Banbridge and Craigavon",2011,central_heating,none,371
N09000003,Belfast,2021,central_heating,none,17473
N09000003,Belfast,2011,central_heating,none,779
N09000004,Causeway Coast and Glens,2021,central_heating,none,17473
N09000004,Causeway Coast and Glens,2011,central_heating,none,269
N09000005,Derry City and Strabane,2021,central_heating,none,17473
N09000005,Derry City and Strabane,2011,central_heating,none,227
N09000006,Fermanagh and Omagh,2021,central_heating,none,17473
N09000006,Fermanagh and Omagh,2011,central_heating,none,282
N09000007,Lisburn and Castlereagh,2021,central_heating,none,17473
N09000007,Lisburn and Castlereagh,2011,central_heating,none,197
N09000008,Mid and East Antrim,2021,central_heating,none,17473
N09000008,Mid and East Antrim,2011,central_heating,none,378
N09000009,Mid Ulster,2021,central_heating,none,17473
N09000009,Mid Ulster,2011,central_heating,none,256
N09000010,"Newry, Mourne and Down",2021,central_heating,none,17473
N09000010,"Newry, Mourne and Down",2011,central_heating,none,389
N09000011,Ards and North Down,2021,central_heating,none,17473
N09000011,Ards and North Down,2011,central_heating,none,424
N92000002,Northern Ireland,2021,central_heating,none,192203
N92000002,Northern Ireland,2011,central_heating,none,3766
N09000001,Antrim and Newtownabbey,2021,central_heating,oil_only,17473
N09000001,Antrim and Newtownabbey,2011,central_heating,oil_only,35073
N09000002,"Armagh City, Banbridge and Craigavon",2021,central_heating,oil_only,17473
N09000002,"Armagh City, Banbridge and Craigavon",2011,central_heating,oil_only,55196
N09000003,Belfast,2021,central_heating,oil_only,17473
N09000003,Belfast,2011,central_heating,oil_only,58840
N09000004,Causeway Coast and Glens,2021,central_heating,oil_only,17473
N09000004,Causeway Coast and Glens,2011,central_heating,oil_only,37392
N09000005,Derry City and Strabane,2021,central_heating,oil_only,17473
N09000005,Derry City and Strabane,2011,central_heating,oil_only,38799
N09000006,Fermanagh and Omagh,2021,central_heating,oil_only,17473
N09000006,Fermanagh and Omagh,2011,central_heating,oil_only,27573
N09000007,Lisburn and Castlereagh,2021,central_heating,oil_only,17473
N09000007,Lisburn and Castlereagh,2011,central_heating,oil_only,33784
N09000008,Mid and East Antrim,2021,central_heating,oil_only,17473
N09000008,Mid and East Antrim,2011,central_heating,oil_only,34618
N09000009,Mid Ulster,2021,central_heating,oil_only,17473
N09000009,Mid Ulster,2011,central_heating,oil_only,33187
N09000010,"Newry, Mourne and Down",2021,central_heating,oil_only,17473
N09000010,"Newry, Mourne and Down",2011,central_heating,oil_only,44069
N09000011,Ards and North Down,2021,central_heating,oil_only,17473
N09000011,Ards and North Down,2011,central_heating,oil_only,38738
N92000002,Northern Ireland,2021,central_heating,oil_only,192203
N92000002,Northern Ireland,2011,central_heating,oil_only,437269
N09000001,Antrim and Newtownabbey,2021,central_heating,other,17473
N09000001,Antrim and Newtownabbey,2011,central_heating,other,8252
N09000002,"Armagh City, Banbridge and Craigavon",2021,central_heating,other,17473
N09000002,"Armagh City, Banbridge and Craigavon",2011,central_heating,other,18042
N09000003,Belfast,2021,central_heating,other,17473
N09000003,Belfast,2011,central_heating,other,14217
N09000004,Causeway Coast and Glens,2021,central_heating,other,17473
N09000004,Causeway Coast and Glens,2011,central_heating,other,14309
N09000005,Derry City and Strabane,2021,central_heating,other,17473
N09000005,Derry City and Strabane,2011,central_heating,other,13686
